gid,pid,detail,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,yds,succ,fd,sg,nh,pts,bc,kne,dir,rtck1,rtck2,psr,comp,spk,loc,trg,dfb,ptck1,ptck2,sk1,sk2,ptm1,pen1,desc1,cat1,pey1,act1,ptm2,pen2,desc2,cat2,pey2,act2,ptm3,pen3,desc3,cat3,pey3,act3,ints,iry,fum,frcv,fry,forc,fuml,saf,blk,brcv,fgxp,fkicker,dist,good,punter,pgro,pnet,ptb,pr,pry,pfc,kicker,kgro,knet,ktb,kr,kry
5066,830645,"(1:48) (No Huddle, Shotgun) R.Wilson pass incomplete short left to C.Carson [C.Lawson]. PENALTY on CIN-D.Kirkpatrick, Unnecessary Roughness, 15 yards, enforced at SEA 30.",SEA,CIN,PASS,2,4,2,1,48,7,10,3,2,2,3,30,2,0,,Y,Y,Y,0,,,,,,RW-3850,,,SL,CC-0750,,,,,,CIN,DK-0750,Unnecessary Roughness,6,15,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830646,(1:44) (Shotgun) R.Wilson pass deep left to D.Metcalf to CIN 13 for 42 yards (J.Bates).,SEA,CIN,PASS,3,33,2,1,44,7,10,3,2,1,10,45,3,42,Y,Y,Y,,0,,,,,,RW-3850,Y,,DL,DM-2275,,JB-1650,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830647,(1:11) (Shotgun) R.Wilson pass incomplete short left to D.Metcalf [S.Hubbard].,SEA,CIN,PASS,4,4,2,1,11,7,10,3,2,1,10,87,5,0,,,Y,,0,,,,,,RW-3850,,,SL,DM-2275,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830648,(1:07) (Shotgun) C.Carson up the middle to CIN 10 for 3 yards (N.Vigil; G.Atkins).,SEA,CIN,RUSH,5,8,2,1,7,7,10,3,2,2,10,87,5,3,,,Y,,0,CC-0750,,MD,GA-0400,NV-0200,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830649,"(:59) (Shotgun) R.Wilson pass short right to C.Carson for 10 yards, TOUCHDOWN. The Replay Official reviewed the runner broke the plane ruling, and the play was Upheld.",SEA,CIN,PASS,6,7,2,0,59,7,10,3,1,3,7,90,5,10,Y,Y,Y,,7,,,,,,RW-3850,Y,,SR,CC-0750,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830650,"J.Myers extra point is GOOD, Center-T.Ott, Holder-M.Dickson.",SEA,CIN,FGXP,6,3,2,0,52,14,10,3,1,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,XP,JM-7000,33,Y,,0,0,,,0,,,0,0,,,0
5066,830651,"J.Myers kicks 65 yards from SEA 35 to end zone, Touchback.",CIN,SEA,KOFF,0,6,2,0,52,10,14,1,3,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,JM-7000,65,40,Y,,0
5066,830652,(:52) (Shotgun) A.Dalton pass short right to T.Boyd to CIN 28 for 3 yards (U.Amadi).,CIN,SEA,PASS,1,20,2,0,52,10,14,1,3,1,10,25,2,3,,,Y,,0,,,,,,AD-0100,Y,,SR,TB-2075,,UA-0100,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830653,"(:28) (No Huddle, Shotgun) A.Dalton pass short right to D.Willis to CIN 45 for 17 yards (S.Griffin26).",CIN,SEA,PASS,2,8,2,0,28,10,14,1,3,2,7,28,2,17,Y,Y,Y,Y,0,,,,,,AD-0100,Y,,SR,DW-3987,,SG-1600,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
5066,830654,(:20) (Shotgun) A.Dalton pass incomplete short left to J.Ross.,CIN,SEA,PASS,3,4,2,0,20,10,14,0,3,1,10,45,3,0,,,Y,,0,,,,,,AD-0100,,,SL,JR-3280,,,,,,,,,0,0,,,,,0,0,,,,,0,0,,,0,,,0,,,,,,,,0,,,0,0,,,0,,,0,0,,,0
